Proposal ID;Title;Brief Description;WSC Proposal Description
28;prospects for the development of higher education based on big data technology;"The educational system continuously generates and accumulates a
considerable amount of data. The issue of systematic work with these data by
a wide range of subjects of education today can be called one of the most
significant. Big Data technologies can be a powerful tool for transforming
learning, to rethink approaches, to reduce costs and improve the efficiency of
the educational system itself. Actual is the task of describing the technology
of operating with big data, aimed at the development of educational systems
through the identification of formed patterns in the education system. The
authors determined the methodological aspects of the implementation of
technology of the operating big data in higher education. Leading approach
in this case serves simulation of the educational system with the inclusion in it
of regulatory measures based on its analysis of the formed patterns. As a result
of the research conducted, the authors of the article described the Big Data
technology as a means of developing educational systems, including the
distinguishing features of the Big Data technology, the system management
processes, the direction of data collection in education are structured, and the
properties of the collected Big Data base in higher education are defined.";"The educational system continuously generates and accumulates a
considerable amount of data. The issue of systematic work with these data by
a wide range of subjects of education today can be called one of the most
significant. Big Data technologies can be a powerful tool for transforming
learning, to rethink approaches, to reduce costs and improve the efficiency of
the educational system itself. Actual is the task of describing the technology
of operating with big data, aimed at the development of educational systems
through the identification of formed patterns in the education system. The
authors determined the methodological aspects of the implementation of
technology of the operating big data in higher education. Leading approach
in this case serves simulation of the educational system with the inclusion in it
of regulatory measures based on its analysis of the formed patterns. As a result
of the research conducted, the authors of the article described the Big Data
technology as a means of developing educational systems, including the
distinguishing features of the Big Data technology, the system management
processes, the direction of data collection in education are structured, and the
properties of the collected Big Data base in higher education are defined."
29;role of isi and statistical societies in measuring sdgs;"The data revolution and adoption of the Sustainable Development Goals
(SDGs) gave a new impetus for the development of the national statistical
systems. Currently the statistical institutions around the world are working on
developing methodologies and conducting new surveys gearing up to better
use of administrative records and private sector data for estimation of SDG
indicators. This situation requires the larger efforts both from international
community as well as from domestic institutions. External support may come
from international organizations and other donors in the form of funds or,
more importantly, technical assistance. International organizations are
responsible for developing standard methodologies and they should provide
assistance but this is not enough. Assistance may come from several
alternative constituencies from the public sector (statistical agencies in
developed countries) and the private sector (statistical consulting companies
and individual consultants). As a part of statistical system, NGOs with statistical
backgrounds also play their role. International NGOs, such as the International
Statistical Institute (ISI), provide a network for professional communication for
all interested participants using various events (conferences, seminars and
webinars, etc.) as well as journals and websites for publication of related
discussion papers. At the national level, the composition of statistical systems
and functions of different participants in measuring SDGs may vary. It depends
on each country’s legislation, traditions, and other factors. In many countries,
official statistical services play a key, if not an exclusive, role in SDGs
measurement using support from the international agencies to solve the
methodological problems and shortage of funds. In the case of the SDGs, this
scheme may not work very effectively because even international agencies
can't provide all necessary support due to ongoing methodological
discussions. To solve the problem of measuring SDGs, members of national
statistical systems need to act in the same way as their partners at the
international level, that is, combine the efforts of official bodies, academia,
private business and NGOs. ";"The data revolution and adoption of the Sustainable Development Goals
(SDGs) gave a new impetus for the development of the national statistical
systems. Currently the statistical institutions around the world are working on
developing methodologies and conducting new surveys gearing up to better
use of administrative records and private sector data for estimation of SDG
indicators. This situation requires the larger efforts both from international
community as well as from domestic institutions. External support may come
from international organizations and other donors in the form of funds or,
more importantly, technical assistance. International organizations are
responsible for developing standard methodologies and they should provide
assistance but this is not enough. Assistance may come from several
alternative constituencies from the public sector (statistical agencies in
developed countries) and the private sector (statistical consulting companies
and individual consultants). As a part of statistical system, NGOs with statistical
backgrounds also play their role. International NGOs, such as the International
Statistical Institute (ISI), provide a network for professional communication for
all interested participants using various events (conferences, seminars and
webinars, etc.) as well as journals and websites for publication of related
discussion papers. At the national level, the composition of statistical systems
and functions of different participants in measuring SDGs may vary. It depends
on each country’s legislation, traditions, and other factors. In many countries,
official statistical services play a key, if not an exclusive, role in SDGs
measurement using support from the international agencies to solve the
methodological problems and shortage of funds. In the case of the SDGs, this
scheme may not work very effectively because even international agencies
can't provide all necessary support due to ongoing methodological
discussions. To solve the problem of measuring SDGs, members of national
statistical systems need to act in the same way as their partners at the
international level, that is, combine the efforts of official bodies, academia,
private business and NGOs. "
30;sharing and using financial microdata;"Banco de Mexico has been collecting financial microdata of all market
operations done by banks and brokerage houses for over 15 years. This data
collection was possible because of a broad data sharing agreement between
Mexican financial authorities after the 1995 financial crisis. More recently, new
needs for monitoring financial institutions and markets, and the lessons learnt
from the 2008 global financial crisis have made necessary improving data
collection, data sharing and dissemination of microdata. Over the last years
Banco de Mexico has: i) taken the task of a “Trade Repository Like” for
derivative operations with new collection templates and new improvements
on the quality of data and services; ii) implemented a new data sharing
framework with other financial authorities, and new MoUs have been signed;
iii) continued the revision and expansion of metadata as an undergoing
process for improving the use of these microdata bases; and, iv) designed and
developed a new dissemination portal for microdata.";"Banco de Mexico has been collecting financial microdata of all market
operations done by banks and brokerage houses for over 15 years. This data
collection was possible because of a broad data sharing agreement between
Mexican financial authorities after the 1995 financial crisis. More recently, new
needs for monitoring financial institutions and markets, and the lessons learnt
from the 2008 global financial crisis have made necessary improving data
collection, data sharing and dissemination of microdata. Over the last years
Banco de Mexico has: i) taken the task of a “Trade Repository Like” for
derivative operations with new collection templates and new improvements
on the quality of data and services; ii) implemented a new data sharing
framework with other financial authorities, and new MoUs have been signed;
iii) continued the revision and expansion of metadata as an undergoing
process for improving the use of these microdata bases; and, iv) designed and
developed a new dissemination portal for microdata."
31;sound methodology for sound official statistics;"The information society has evolved to a point where data and pieces of
information of all kinds are readily available at our finger tips. All these digital
fragments can be informative or misleading. It is simply not possible to
understand and/or defend a data point when it stands on its own; it requires
a context and a purpose to become a meaningful piece of information. In this
data day and age, contexts, purposes as well as tools, technology and methods
are overwhelmingly abundant. However, how does one know which are the
most appropriate for their purpose? While National Statistical Offices (NSO)
might have been lighthouses whose beacon people readily followed, they now
have to explain and justify themselves for constituents to see the value of the
information they emit. It is the responsibility of the NSO to be able to not only
produce quality data, but also to enable potential users to understand what it
produces. This article will use the example and values of the Methodology
Branch to provide an example of a frame for meeting some of the rigour and
transparency challenges that NSOs are facing.";"The information society has evolved to a point where data and pieces of
information of all kinds are readily available at our finger tips. All these digital
fragments can be informative or misleading. It is simply not possible to
understand and/or defend a data point when it stands on its own; it requires
a context and a purpose to become a meaningful piece of information. In this
data day and age, contexts, purposes as well as tools, technology and methods
are overwhelmingly abundant. However, how does one know which are the
most appropriate for their purpose? While National Statistical Offices (NSO)
might have been lighthouses whose beacon people readily followed, they now
have to explain and justify themselves for constituents to see the value of the
information they emit. It is the responsibility of the NSO to be able to not only
produce quality data, but also to enable potential users to understand what it
produces. This article will use the example and values of the Methodology
Branch to provide an example of a frame for meeting some of the rigour and
transparency challenges that NSOs are facing."
32;special purpose entities and pass through equity a micro analysis with bea data;"Special purpose entities (SPEs), legal entities with little or no employment or
physical presence, play an important role in the global financial system.
Financial transactions and direct investment positions recorded in
macroeconomic statistics often reflect the flow of funds between business
enterprises resident in one country and affiliated SPEs resident elsewhere.
These statistics tend to record large direct investment equity positions in
countries that host relatively more SPEs, irrespective of whether the equity
passes through those countries to be used for production in other countries.
Using firm-level survey data collected by the Bureau of Economic Analysis
(BEA), this paper provides a summary of BEA’s efforts to (i) identify SPEs in U.S.
international economic statistics, (ii) measure the value of pass-through equity
in affiliates, and (iii) understand the relationship between SPEs and passthrough equity. 
Preliminary results show that SPEs play a much larger role in
U.S. direct investment abroad than in foreign direct investment in the United
States and that SPEs account for a large amount of pass-through activity.";"Special purpose entities (SPEs), legal entities with little or no employment or
physical presence, play an important role in the global financial system.
Financial transactions and direct investment positions recorded in
macroeconomic statistics often reflect the flow of funds between business
enterprises resident in one country and affiliated SPEs resident elsewhere.
These statistics tend to record large direct investment equity positions in
countries that host relatively more SPEs, irrespective of whether the equity
passes through those countries to be used for production in other countries.
Using firm-level survey data collected by the Bureau of Economic Analysis
(BEA), this paper provides a summary of BEA’s efforts to (i) identify SPEs in U.S.
international economic statistics, (ii) measure the value of pass-through equity
in affiliates, and (iii) understand the relationship between SPEs and passthrough equity. 
Preliminary results show that SPEs play a much larger role in
U.S. direct investment abroad than in foreign direct investment in the United
States and that SPEs account for a large amount of pass-through activity."
33;special purpose entities relevance and impact of harmonised concepts and measurement challenges uk contribution;"Globalisation has led to a rapid increase in the importance of multinational
enterprises to national economies, whose activities and corporate structures
often span many countries with varied degrees of complexity. The role of
Special Purpose Entities (SPEs) has also seen a rapid increase, as multinationals
attempt to manage their access to capital markets, financial risks, and
regulatory or tax burdens. As a member of the IMF Task Force on Special
Purpose Entities, ONS has been utilising available data sources and the Task
Force’s definition of SPEs to develop a decision tree for identifying resident
SPEs in the UK’s FDI statistics. This paper summarises ONS’s analysis of
resident SPEs and outlines some of the compilation challenges faced when
producing these estimates.";"Globalisation has led to a rapid increase in the importance of multinational
enterprises to national economies, whose activities and corporate structures
often span many countries with varied degrees of complexity. The role of
Special Purpose Entities (SPEs) has also seen a rapid increase, as multinationals
attempt to manage their access to capital markets, financial risks, and
regulatory or tax burdens. As a member of the IMF Task Force on Special
Purpose Entities, ONS has been utilising available data sources and the Task
Force’s definition of SPEs to develop a decision tree for identifying resident
SPEs in the UK’s FDI statistics. This paper summarises ONS’s analysis of
resident SPEs and outlines some of the compilation challenges faced when
producing these estimates."
34;the cost of victimization subjective and objective dimensions;"Public perception of crime is sometimes opposite to the official statistics data
provided. Also citizens having not experienced crime victimization by their
own, can be alerted and suffer fear of crime due to indirect victimization. Crime
victimization consequences are not only economic: changes in ordinary life of
victimized households and individuals, due to the direct and indirect crime
experience, can be a heavy cost to be faced. Starting from a cross country
analysis of victimization and literature, the paper, based on evidence of
Citizen’s Safety Survey, performed by Istat on a periodically every 5-7 years,
household and individual costs due to the experience of victimization will be
analyzed, according to different covariates as geographical area, the type of
suffered crime, its dynamic, fear of crime among others. Costs will be
estimated in terms of both material and not tangible changes: defense systems
adopted for the house, individual strategies and behaviors changes adopted
to prevent crime victimization, both in case of experienced than in case of fear
of crime with not direct experience of victimization. Also the actual economic
loss by type of crime on properties, both individual and household’s ones, will
be evaluated, using a model to analyze socio-economic impact of
victimization.";"Public perception of crime is sometimes opposite to the official statistics data
provided. Also citizens having not experienced crime victimization by their
own, can be alerted and suffer fear of crime due to indirect victimization. Crime
victimization consequences are not only economic: changes in ordinary life of
victimized households and individuals, due to the direct and indirect crime
experience, can be a heavy cost to be faced. Starting from a cross country
analysis of victimization and literature, the paper, based on evidence of
Citizen’s Safety Survey, performed by Istat on a periodically every 5-7 years,
household and individual costs due to the experience of victimization will be
analyzed, according to different covariates as geographical area, the type of
suffered crime, its dynamic, fear of crime among others. Costs will be
estimated in terms of both material and not tangible changes: defense systems
adopted for the house, individual strategies and behaviors changes adopted
to prevent crime victimization, both in case of experienced than in case of fear
of crime with not direct experience of victimization. Also the actual economic
loss by type of crime on properties, both individual and household’s ones, will
be evaluated, using a model to analyze socio-economic impact of
victimization."
35;the costs of gender based violence against women in spain;"Violence against women (VAW) is one of the most severe forms of gender
inequality. In 2013, the World Health Organization (WHO) estimated that one
out of three women in the world has experienced physical and/or sexual
violence throughout life. VAW causes thousands of deaths every year, and
millions of victims who experience suffering and pain. Moreover, it has also
significant economic costs in terms of expenditures on service provision and
healthcare, lost income for women and their families, work absenteeism of
victims and aggressors, police and legal costs, etc. This paper aims to estimate
the global costs of VAW caused by intimate partner violence (IPV) in Spain
during 2016. First, it starts describing the methodological aspects needed for
the estimation of costs. Second, we depict the data on victims from the 2015
Spanish Macro survey of gender-based violence. Third, we classify the diverse
impacts of IPV against women in three cost-assessment categories:
employment, healthcare and legal sector. Finally, we estimate the tangible
costs for each one of these categories, as well as for other concepts such as
accommodation needs or other activities of third sector organizations. The
main findings of this paper are that 2.7% of women aged 16 or more have
suffered from physical and/or sexual violence from their intimate partners in
Spain. However, this percentage increases up to 13.2% if we consider other types
of intimate partner violence. Using the accounting model and different
approaches for every category, we estimate the total tangible cost of VAW in
Spain in 2016 between 1,281.0 and 8,540.9 million €, which represent between
0.11% and 0.76% of Spanish GDP.";"Violence against women (VAW) is one of the most severe forms of gender
inequality. In 2013, the World Health Organization (WHO) estimated that one
out of three women in the world has experienced physical and/or sexual
violence throughout life. VAW causes thousands of deaths every year, and
millions of victims who experience suffering and pain. Moreover, it has also
significant economic costs in terms of expenditures on service provision and
healthcare, lost income for women and their families, work absenteeism of
victims and aggressors, police and legal costs, etc. This paper aims to estimate
the global costs of VAW caused by intimate partner violence (IPV) in Spain
during 2016. First, it starts describing the methodological aspects needed for
the estimation of costs. Second, we depict the data on victims from the 2015
Spanish Macro survey of gender-based violence. Third, we classify the diverse
impacts of IPV against women in three cost-assessment categories:
employment, healthcare and legal sector. Finally, we estimate the tangible
costs for each one of these categories, as well as for other concepts such as
accommodation needs or other activities of third sector organizations. The
main findings of this paper are that 2.7% of women aged 16 or more have
suffered from physical and/or sexual violence from their intimate partners in
Spain. However, this percentage increases up to 13.2% if we consider other types
of intimate partner violence. Using the accounting model and different
approaches for every category, we estimate the total tangible cost of VAW in
Spain in 2016 between 1,281.0 and 8,540.9 million €, which represent between
0.11% and 0.76% of Spanish GDP."
36;the integrated system on violence against women vaw in italy measuring communicating and using vaw data;"In 2017 an agreement between the Italian National Statistical Office (ISTAT)
and the national Department for Equal Opportunity (DEO) at the Presidency
of the Council of Ministers was signed in order to create an integrated data
system on Violence against women (VAW) with the aim to support
stakeholders in designing policies to prevent and combat VAW. The Council
of Europe Convention on preventing and combating violence against women
and domestic violence (2011), the so called Istanbul Convention , ratified in
Italy in 2013, requires States to offer a holistic response to violence against
women, through the “4 Ps approach”: Prevention of violence through
sustained measures that address its root causes and aim at changing attitudes,
gender roles and stereotypes that make violence against women acceptable;
Protecting women and girls who are known to be at risk and setting up
specialist support services for victims and their children; Prosecuting the
perpetrators; adopting and implementing state?wide integrated Policies that
are effective, co-ordinated and comprehensive. Furthermore, based on article
11 “Data collection and research”, the Convention recognizes for the first time
the crucial importance and the role played by statistics in improving the
awareness of gender based violence and its monitoring. With the aim to
respond to the arisen needs the Italian integrated system was built up. It is a
huge container fully accessible online which collect the main data and
indicators, but also the existing legal frameworks, experiences and policies
regarding violence against women. Data are being progressively organised in
a dedicated data warehouse. The system collects official statistics from both
kind of sources, survey data and register statistics, which are related to the
following fields:
1. the prevention and more specifically data on the gender stereotypes and
stereotypes towards violence against women, that are collected among the
adult population and the student population, respectively using computer
assisted telephone interviews ( CATI) and computer assisted self-interview
technique (CASI) ;
2. the size of the phenomenon in its several forms, as physical, sexual,
psychological and economical violence inside and outside the family, as it is
observed through the VAW surveys; sexual harassment and violence at work
investigated by the Citizens’ safety surveys; administrative data on female
homicides
3. the way out, with data about the calls to the to the national helpline against
violence and stalking 1522 and the new census data collection on shelters and
centers for victims of violence;
4. the paths in the justice system, as the analysis based on the reports to the
police, the proceedings, the convictions and the prisoners data.
Most of these data are produced by ISTAT in agreement with NGOs and a
number of National Ministries and Institutions as this is the only possible way
to proceed producing good, accurate and meaningful data.
The paper will present the structure of the integrated system as well as the
main key results from the new data collection on stereotypes and on
specialized services for victims of VAW.";"In 2017 an agreement between the Italian National Statistical Office (ISTAT)
and the national Department for Equal Opportunity (DEO) at the Presidency
of the Council of Ministers was signed in order to create an integrated data
system on Violence against women (VAW) with the aim to support
stakeholders in designing policies to prevent and combat VAW. The Council
of Europe Convention on preventing and combating violence against women
and domestic violence (2011), the so called Istanbul Convention , ratified in
Italy in 2013, requires States to offer a holistic response to violence against
women, through the “4 Ps approach”: Prevention of violence through
sustained measures that address its root causes and aim at changing attitudes,
gender roles and stereotypes that make violence against women acceptable;
Protecting women and girls who are known to be at risk and setting up
specialist support services for victims and their children; Prosecuting the
perpetrators; adopting and implementing state?wide integrated Policies that
are effective, co-ordinated and comprehensive. Furthermore, based on article
11 “Data collection and research”, the Convention recognizes for the first time
the crucial importance and the role played by statistics in improving the
awareness of gender based violence and its monitoring. With the aim to
respond to the arisen needs the Italian integrated system was built up. It is a
huge container fully accessible online which collect the main data and
indicators, but also the existing legal frameworks, experiences and policies
regarding violence against women. Data are being progressively organised in
a dedicated data warehouse. The system collects official statistics from both
kind of sources, survey data and register statistics, which are related to the
following fields:
1. the prevention and more specifically data on the gender stereotypes and
stereotypes towards violence against women, that are collected among the
adult population and the student population, respectively using computer
assisted telephone interviews ( CATI) and computer assisted self-interview
technique (CASI) ;
2. the size of the phenomenon in its several forms, as physical, sexual,
psychological and economical violence inside and outside the family, as it is
observed through the VAW surveys; sexual harassment and violence at work
investigated by the Citizens’ safety surveys; administrative data on female
homicides
3. the way out, with data about the calls to the to the national helpline against
violence and stalking 1522 and the new census data collection on shelters and
centers for victims of violence;
4. the paths in the justice system, as the analysis based on the reports to the
police, the proceedings, the convictions and the prisoners data.
Most of these data are produced by ISTAT in agreement with NGOs and a
number of National Ministries and Institutions as this is the only possible way
to proceed producing good, accurate and meaningful data.
The paper will present the structure of the integrated system as well as the
main key results from the new data collection on stereotypes and on
specialized services for victims of VAW."
37;the mood of the twitterers in mexico;"The mood of the twitterers in Mexico generates statistical information from
georeferenced tweets that are posted daily from any point of the Mexican
territory and reports the ""positivity ratio"", which relates the tweets with a
positive emotional load to those that have a negative emotional load. The
process uses sentiment analysis techniques that involve the labeling of a
subset of tweets by human beings and the subsequent machine learning
process that allows automating the identification of the underlying emotional
charge, which happens to match the human criterion more than 80% of the
time. This allows generating the highest frequency time series published by
INEGI, since every day the computer updates the classification of about
100,000 tweets with information up to the previous day. The system, freely
available on the Internet, allows consulting at national and regional level in
annual, quarterly, monthly, weekly, daily and even hourly series. Also, it is
possible to see the hashtags that dominated the scene and directly access
news sites that help to associate the variations in the series with specific
events. With a series of time that begins in 2016, the system shows dynamics
consistent with what should be expected for a number of clearly identified
events, such as the results of the US Presidential Elections on November 11,
2016 (negative), the increase in national petrol prices at the beginning of 2017
(negative) and the two large earthquakes of September 2017 (both negative),
the triumph in Soccer of Mexico against Germany on June 2017 (positive) and
the award of ""The Form of Water"" with the Oscar for the best film of 2018
(positive). This is a practical exercise in the generation of statistical information
on inferred aggregate subjective well-being using entirely non-conventional
statistical information, which can be refined to address particular topics in
relation to how they are felt by the twitterers. This product is the result of
combined research efforts of INEGI and national and international academic
institutions and has been the basis for the development of other data science
projects at INEGI.";"The mood of the twitterers in Mexico generates statistical information from
georeferenced tweets that are posted daily from any point of the Mexican
territory and reports the ""positivity ratio"", which relates the tweets with a
positive emotional load to those that have a negative emotional load. The
process uses sentiment analysis techniques that involve the labeling of a
subset of tweets by human beings and the subsequent machine learning
process that allows automating the identification of the underlying emotional
charge, which happens to match the human criterion more than 80% of the
time. This allows generating the highest frequency time series published by
INEGI, since every day the computer updates the classification of about
100,000 tweets with information up to the previous day. The system, freely
available on the Internet, allows consulting at national and regional level in
annual, quarterly, monthly, weekly, daily and even hourly series. Also, it is
possible to see the hashtags that dominated the scene and directly access
news sites that help to associate the variations in the series with specific
events. With a series of time that begins in 2016, the system shows dynamics
consistent with what should be expected for a number of clearly identified
events, such as the results of the US Presidential Elections on November 11,
2016 (negative), the increase in national petrol prices at the beginning of 2017
(negative) and the two large earthquakes of September 2017 (both negative),
the triumph in Soccer of Mexico against Germany on June 2017 (positive) and
the award of ""The Form of Water"" with the Oscar for the best film of 2018
(positive). This is a practical exercise in the generation of statistical information
on inferred aggregate subjective well-being using entirely non-conventional
statistical information, which can be refined to address particular topics in
relation to how they are felt by the twitterers. This product is the result of
combined research efforts of INEGI and national and international academic
institutions and has been the basis for the development of other data science
projects at INEGI."
38;the use of registers in the german censuses;"The history of population and housing censuses in Germany is special for a
number of reasons. The most obvious feature is that after the last traditional
census in 1987 the next population census did only take place in 2011. The
census in 2011 was prepared under the restrictions of a judgment of the
German constitutional court that preceded the census in 1987 and imposed
strict data protection rules. Still under the impression of the public debate in
1987, in 2011 a combined census model was launched integrating elements
of register use, a conventional census (on housing), and a sample survey. The
results from the sample survey are used in order to correct the data for errors
due to over- and undercoverage as well as to collect such variables that were
not available from registers. The paper, in a first part, gives insight into the
backgrounds to the creation of this specific model and provides an overview
of the experiences made in the 2011 census. In its second part, the paper
presents the lessons learned for the implementation of a similar combined
model in 2021 and introduces the current plans to move to a purely registerbased census model in the post-2021 era.";"The history of population and housing censuses in Germany is special for a
number of reasons. The most obvious feature is that after the last traditional
census in 1987 the next population census did only take place in 2011. The
census in 2011 was prepared under the restrictions of a judgment of the
German constitutional court that preceded the census in 1987 and imposed
strict data protection rules. Still under the impression of the public debate in
1987, in 2011 a combined census model was launched integrating elements
of register use, a conventional census (on housing), and a sample survey. The
results from the sample survey are used in order to correct the data for errors
due to over- and undercoverage as well as to collect such variables that were
not available from registers. The paper, in a first part, gives insight into the
backgrounds to the creation of this specific model and provides an overview
of the experiences made in the 2011 census. In its second part, the paper
presents the lessons learned for the implementation of a similar combined
model in 2021 and introduces the current plans to move to a purely registerbased census model in the post-2021 era."
39;transforming population and migration statistics using admin data progress on the england and wales transformation journey;"The Office for National Statistics (ONS) has been using integrated data to
pursue the UK Government ambition that ‘censuses after 2021 will be based
on alternative sources of data.’ ONS is working with other National Statistics
Institutes (NSIs) which are also looking at the use of administrative data for
their censuses. The Administrative Data Census project has made progress in:
producing a range of Research Outputs that are typically produced by the tenyearly census; comparing these outputs with official statistics; and seeking
feedback from users. A key milestone in this ambitious programme of work is
to put administrative data at the core of population and migration statistics
for England and Wales by Spring 2020. This paper summarises progress
towards this milestone, where the aim is to produce a coherent set of
estimates for both population size (stocks) and components of population
change (flows), highlighting methodological challenges and our approach to
tackle them in order to deliver this transformational change.";"The Office for National Statistics (ONS) has been using integrated data to
pursue the UK Government ambition that ‘censuses after 2021 will be based
on alternative sources of data.’ ONS is working with other National Statistics
Institutes (NSIs) which are also looking at the use of administrative data for
their censuses. The Administrative Data Census project has made progress in:
producing a range of Research Outputs that are typically produced by the tenyearly census; comparing these outputs with official statistics; and seeking
feedback from users. A key milestone in this ambitious programme of work is
to put administrative data at the core of population and migration statistics
for England and Wales by Spring 2020. This paper summarises progress
towards this milestone, where the aim is to produce a coherent set of
estimates for both population size (stocks) and components of population
change (flows), highlighting methodological challenges and our approach to
tackle them in order to deliver this transformational change."
40;us statistical system the congress fundamental;"The foundation of government in the United States rests on the principle of
three co-equal branches of government - legislative, executive and judicial. It
is the tensions between these branches that determine how well and how
smoothly the government operates. The legislature enacts laws and it is the
responsibility of the executive branch to carry out these laws. Tension often
arises on the interpretation of the laws by the executive branch. The statistical
system in the US is on the far decentralized end of an organization spectrum
from centralized to decentralized. In that sense, the statistical system in the
USA is quite different from systems in the rest of the world. There are over 100
agencies collecting statistical information with 13 so called principal statistical
agencies. Each agency is located in an individual cabinet department with an
oversight and coordinating agency in the Executive Office of the President.
Fundamental Principles of Official Statistics exist in a sphere outside of the
government itself in that they are a common ethos developed by official
statisticians and adopted by the United Nations General Assembly. This paper
will examine the operational difficulties in implementing the Fundamental
Principles. The decennial Census will be used as an example to demonstrate
these issue";"The foundation of government in the United States rests on the principle of
three co-equal branches of government - legislative, executive and judicial. It
is the tensions between these branches that determine how well and how
smoothly the government operates. The legislature enacts laws and it is the
responsibility of the executive branch to carry out these laws. Tension often
arises on the interpretation of the laws by the executive branch. The statistical
system in the US is on the far decentralized end of an organization spectrum
from centralized to decentralized. In that sense, the statistical system in the
USA is quite different from systems in the rest of the world. There are over 100
agencies collecting statistical information with 13 so called principal statistical
agencies. Each agency is located in an individual cabinet department with an
oversight and coordinating agency in the Executive Office of the President.
Fundamental Principles of Official Statistics exist in a sphere outside of the
government itself in that they are a common ethos developed by official
statisticians and adopted by the United Nations General Assembly. This paper
will examine the operational difficulties in implementing the Fundamental
Principles. The decennial Census will be used as an example to demonstrate
these issue"
41;the multiple faces of trust in statistics and composite indicators: a case for healthy mistrust;"Declining public trust in official statistics and institutions responsible for
statistics and indicator production is frequently highlighted as a key obstacle
to reasoned debate on policy options and governance choices. The potentially
harmful impacts of Big Data and an alleged ìpost-truthî era have further
accentuated such concerns. To remain trusted and credible, statistical
institutions must safeguard their authority as sources of independent and
scientifically sound indicators, while at the same time being prepared to
innovate and explore new methodological options. However, this paper
argues that, in addition to this trust-building work, indicator designers need
to embrace mistrust and distrust as essential for the generation of relevant
and influential composite indicators. While important, regaining trust should
not be seen as the overarching objective let alone a ësilver bulletí. This paper
seeks to unpack the notion of trust and makes the case for mistrust and
distrust as potential resources rather than mere threats to the credibility and
authority of official statistics. For further empirical work, it proposes a
conceptual framework consisting of three dimensions of trust and a distinction
between mistrust and distrust, and illustrates the framework by concrete
examples from indicator work. The conclusions suggest ways for statistical
institutions to exploit the potential virtues of mistrust and adjusting their
strategies to maintain trust via a more nuanced understanding of the multiple
dimensions of trust, mistrust and distrust.";"Declining public trust in official statistics and institutions responsible for
statistics and indicator production is frequently highlighted as a key obstacle
to reasoned debate on policy options and governance choices. The potentially
harmful impacts of Big Data and an alleged ìpost-truthî era have further
accentuated such concerns. To remain trusted and credible, statistical
institutions must safeguard their authority as sources of independent and
scientifically sound indicators, while at the same time being prepared to
innovate and explore new methodological options. However, this paper
argues that, in addition to this trust-building work, indicator designers need
to embrace mistrust and distrust as essential for the generation of relevant
and influential composite indicators. While important, regaining trust should
not be seen as the overarching objective let alone a ësilver bulletí. This paper
seeks to unpack the notion of trust and makes the case for mistrust and
distrust as potential resources rather than mere threats to the credibility and
authority of official statistics. For further empirical work, it proposes a
conceptual framework consisting of three dimensions of trust and a distinction
between mistrust and distrust, and illustrates the framework by concrete
examples from indicator work. The conclusions suggest ways for statistical
institutions to exploit the potential virtues of mistrust and adjusting their
strategies to maintain trust via a more nuanced understanding of the multiple
dimensions of trust, mistrust and distrust."
42;Of numbers and narratives: Evidence for policy-making in the 21st century;"The paper discusses key aspects of evidence-based policy-making (EBPM), of
governance and knowledge effects of statistics and of narratives in politics. It
focusses on EBPM stimuli on the creation of knowledge and on its normative
effects on defining and identifying (new) evidence. The paper also interlinks
the analysis of statistics and politics. It deals with essential elements of EBPM
and draws conclusions on its challenges for statistics and data providers. With
this focus, the paper speaks to questions of the intentional and unintentional
use of indicators and to the question to what extent indicators fulfil their
intended purpose (intended by developers, politicians, advocacy groups, etc.).
It, moreover, deals with risks of indicators and their interaction with policy
(especially aspects of EBPM and the path of indicator information to and from
policy-makers). Finally, it addresses issues of informational governance and
the conditions (legal, political, institutional) for the enhancement of
stakeholdersí confidence in statistics, data, indicators and factual evidence.
The paper is based on the authorís joint research with Debora Valentina Malito
and Nehal Bhuta for their co-edited Palgrave Handbook of Indicators in Global
Governance, her analyses within GlobalStat and most recent work for the
Enlightenment 2.0 project and expert group of the European Commissionís
Joint Research Centre.";"The paper discusses key aspects of evidence-based policy-making (EBPM), of
governance and knowledge effects of statistics and of narratives in politics. It
focusses on EBPM stimuli on the creation of knowledge and on its normative
effects on defining and identifying (new) evidence. The paper also interlinks
the analysis of statistics and politics. It deals with essential elements of EBPM
and draws conclusions on its challenges for statistics and data providers. With
this focus, the paper speaks to questions of the intentional and unintentional
use of indicators and to the question to what extent indicators fulfil their
intended purpose (intended by developers, politicians, advocacy groups, etc.).
It, moreover, deals with risks of indicators and their interaction with policy
(especially aspects of EBPM and the path of indicator information to and from
policy-makers). Finally, it addresses issues of informational governance and
the conditions (legal, political, institutional) for the enhancement of
stakeholdersí confidence in statistics, data, indicators and factual evidence.
The paper is based on the authorís joint research with Debora Valentina Malito
and Nehal Bhuta for their co-edited Palgrave Handbook of Indicators in Global
Governance, her analyses within GlobalStat and most recent work for the
Enlightenment 2.0 project and expert group of the European Commissionís
Joint Research Centre."
